OPS_001_VAP_RNA_TA_H20_P0_S144
OPS_003_VAP_RNA_TA_Water_195_P0_S184
OPS_006_VAP_RNA_TA_H20_ERCC_P0_S181
OPS_007_VAP_TA_RNA_WaterA2-596_P0_A2_S96_L002
OPS_007_VAP_TA_RNA_WaterB1-698_P0_B23_S79_L003
OPS_007_VAP_TA_RNA_WaterB2-597_J6_S100_L003
OPS016_VAP_BAL_RNA_H2O_ERCC_Control_B5_S120
OPS016_VAP_BAL_RNA_H2O_ERCC_Control_D5_S125
VAP_RNA_TA_H20_1_S87_1
VAP_RNA_TA_H20_ERCC_2_S86_1
VAP_RNA_TA_Water_1_S38_1
VAP-2020-Extractions_run76_H2O_D6_RNA_OPS054_novaseq
VAP-2020-Extractions_run76-2_H2O_H7_RNA_OPS054_novaseq
VAP1_RNA_TA_Water_P0_S25
VAP2019_H2O-run68_D1_OPS038_S112
VAP2019_H2O-run69_G2_OPS038_S131
VAP2019_H2O-run70_L2_OPS038_S136
VAP2019_H2O-run71_O3_OPS038_S155
VAP2019_H2O-run72_C4_OPS038_S159
VAP2019_H2O-run73_A5_OPS038_S173
VAP3_RNA_TA_H2O_P0_S47
VAP5_RNA_H20_1_P0_S94
VAP5_RNA_H20_2_P0_S95
VAP5_RNA_H20_ERCC_1_P0_S92
VAP5_RNA_H20_ERCC_2_P0_S93
VAP6_RNA_H20_1_P0_S143
VAP6_RNA_H20_ERCC_1_P0_S141
VAP6_RNA_H20_ERCC_2_P0_S142
VAP8_RNA_H20_1_P0_S190
VAP8_RNA_H20_2_P0_S191
VAP8_RNA_H20_ERCC_1_P0_S188
VAP8_RNA_H20_ERCC_2_P0_S189
VAP9_RNA_TA_VAP1Water_P0_re-prepVAP1_S67
VAP9_RNA_TA_VAP9Water_P0_S50
